Date,Open,High,Low,Close,Volume
2017-04-19 20:12:00,2342.86,2343.0,2342.86,2342.99,0.0
2017-04-19 20:13:00,2342.18,2342.86,2342.18,2342.86,0.0
2017-04-19 20:14:00,2342.42,2342.46,2342.05,2342.18,0.0
2017-04-19 20:15:00,2342.04,2342.6,2342.04,2342.44,0.0
2017-04-19 20:16:00,2340.61,2342.0,2340.43,2342.0,0.0
2017-04-19 20:17:00,2340.32,2340.6,2340.26,2340.59,0.0
2017-04-19 20:18:00,2340.94,2340.99,2340.33,2340.33,0.0
2017-04-19 20:19:00,2341.15,2341.38,2340.97,2340.98,0.0
2017-04-19 20:20:00,2341.35,2341.35,2340.92,2341.16,0.0
2017-04-19 20:21:00,2341.26,2341.48,2341.16,2341.35,0.0
2017-04-19 20:22:00,2340.44,2341.25,2340.43,2341.25,0.0
2017-04-19 20:23:00,2341.13,2341.23,2340.44,2340.44,0.0
2017-04-19 20:24:00,2341.3,2341.3,2341.08,2341.15,0.0
2017-04-19 20:25:00,2340.37,2341.31,2340.37,2341.31,0.0
2017-04-19 20:26:00,2340.7,2340.73,2340.3,2340.36,0.0
2017-04-19 20:27:00,2341.24,2341.25,2340.73,2340.73,0.0
2017-04-19 20:28:00,2342.12,2342.26,2341.24,2341.24,0.0
2017-04-19 20:29:00,2342.21,2342.57,2342.14,2342.14,0.0
2017-04-19 20:30:00,2342.22,2342.33,2342.11,2342.2,0.0
2017-04-19 20:31:00,2341.86,2342.2,2341.85,2342.2,0.0
2017-04-19 20:32:00,2342.35,2342.58,2341.84,2341.85,0.0
2017-04-19 20:33:00,2342.57,2342.68,2342.32,2342.35,0.0
2017-04-19 20:34:00,2341.78,2342.58,2341.7,2342.57,0.0
2017-04-19 20:35:00,2342.01,2342.03,2341.73,2341.74,0.0
2017-04-19 20:36:00,2342.14,2342.35,2341.88,2341.96,0.0
2017-04-19 20:37:00,2342.08,2342.21,2342.05,2342.13,0.0
2017-04-19 20:38:00,2342.75,2342.78,2342.03,2342.07,0.0
2017-04-19 20:39:00,2342.47,2342.97,2342.46,2342.75,0.0
2017-04-19 20:40:00,2342.48,2342.5,2342.31,2342.47,0.0
2017-04-19 20:41:00,2342.53,2342.72,2342.49,2342.5,0.0
2017-04-19 20:42:00,2341.76,2342.53,2341.76,2342.53,0.0
2017-04-19 20:43:00,2341.37,2341.81,2341.37,2341.66,0.0
2017-04-19 20:44:00,2341.1,2341.37,2341.05,2341.37,0.0
2017-04-19 20:45:00,2341.32,2341.51,2341.06,2341.09,0.0
2017-04-19 20:46:00,2341.39,2341.43,2341.18,2341.29,0.0
2017-04-19 20:47:00,2341.23,2341.49,2341.2,2341.4,0.0
